Tanggal,Provinsi,Kriteria UMKM,Jenis UMKM,Lokasi Usaha,Lama Usaha (Bulan),Status Kepemilikan Tempat Usaha,Jumlah Karyawan,Aset Usaha (IDR),Jumlah Pasti Aset Usaha (IDR),Liabilitas Usaha (IDR),Jumlah Pasti Liabilitas Usaha (IDR),Omset Bulanan (IDR),Jumlah Pasti Omset Bulanan (IDR),Laba Bersih (IDR),Jumlah Pasti Laba Bersih (IDR),Jumlah Pinjaman (IDR),Jumlah Pasti Jumlah Pinjaman (IDR),Rekening Bank,Skor Kredit,Kategori Skor Kredit
2023-05-08,2,2,3,2,33,2,22,7,370160000,6,284960000,4,70690000,4,70620000,7,314020000,0,850,5
2022-11-15,34,1,4,2,23,1,3,3,43440000,3,49760000,1,2240000,3,33850000,3,36700000,0,673,3
2020-05-09,26,1,5,3,19,1,3,3,46030000,2,17910000,1,190000,3,49520000,2,25800000,1,850,5
2021-10-05,37,3,2,3,101,3,84,13,9105960000,13,8194700000,10,1930770000,12,5519720000,13,8202270000,0,850,5
2023-02-12,22,2,4,1,99,4,8,7,339800000,5,153290000,4,93830000,9,560950000,4,77170000,0,850,5
2021-09-28,5,3,4,1,134,4,63,13,9352090000,11,3675400000,13,9740620000,11,3586010000,11,3372130000,0,850,5
2020-09-08,6,3,1,1,192,3,40,12,6227530000,10,1579520000,10,1114300000,10,1192730000,11,3097590000,1,850,5
2022-08-15,17,2,5,1,52,4,23,7,312950000,8,436790000,5,125340000,8,407580000,5,199180000,1,850,5
2021-10-21,35,2,2,2,111,4,5,8,403370000,9,767390000,4,89240000,5,161920000,8,486400000,0,850,5
2021-01-30,27,2,3,1,54,2,10,9,666210000,9,747930000,4,61560000,7,383820000,4,92230000,0,850,5
2022-04-10,28,2,5,3,28,1,20,9,593550000,8,461620000,5,117660000,5,194060000,4,98330000,0,850,5
2022-04-20,16,1,2,2,18,2,2,3,44750000,2,11570000,3,35780000,3,30680000,3,36750000,0,850,5
2023-05-03,33,1,1,1,36,2,3,1,2580000,2,27370000,1,7040000,3,34430000,3,42700000,0,581,2
2023-11-03,19,3,4,3,38,2,61,13,8401320000,10,1743490000,11,4923460000,13,9718630000,11,3860710000,1,850,5
2023-01-10,9,3,2,3,156,3,26,10,1029610000,11,4275770000,13,9303540000,10,1904620000,13,9371970000,1,850,5
2021-10-05,21,2,2,1,90,3,9,5,122820000,4,58580000,8,473500000,4,76760000,8,402800000,1,850,5
2021-03-20,12,1,2,1,11,4,2,1,5120000,2,14640000,2,12400000,2,11940000,3,37190000,1,512,1
2023-04-11,18,1,5,3,11,3,2,3,36430000,1,2960000,3,40100000,2,23260000,1,9790000,0,849,5
2022-11-07,7,3,5,2,74,3,39,11,4381200000,11,3957980000,12,6536910000,11,3173270000,12,5740320000,0,850,5
2022-07-03,9,2,2,2,15,1,13,8,481930000,9,841990000,8,466090000,6,234120000,5,123500000,0,850,5
2020-03-06,14,3,4,2,155,2,31,11,4682100000,13,8154600000,11,3311510000,10,2614390000,10,1859330000,1,850,5
2023-08-01,30,3,4,1,135,4,86,12,6090390000,12,6248890000,13,9089610000,10,2561640000,12,6004610000,1,850,5
2021-11-11,15,3,5,1,151,1,48,11,4147110000,12,6677890000,10,1701200000,13,9551820000,12,6458240000,0,850,5
2023-06-07,11,3,4,3,158,1,44,10,1990890000,13,7664620000,12,6161710000,10,2888270000,12,5339890000,1,850,5
2020-09-29,30,1,3,2,8,4,2,2,15070000,1,1320000,2,10760000,1,1880000,2,20780000,0,473,1
2022-03-12,30,1,4,2,31,3,3,1,720000,2,25210000,3,40190000,2,18740000,3,47050000,1,637,2
2023-12-06,26,3,4,3,149,1,55,10,2739660000,11,3614970000,11,3470540000,10,2975360000,10,2202720000,1,850,5
2020-09-04,35,2,4,1,111,2,15,9,509800000,5,182820000,9,604220000,4,65420000,8,401310000,1,850,5
2021-02-25,7,2,2,2,106,3,8,5,195460000,8,449550000,9,515480000,6,273930000,8,484150000,1,850,5
2022-01-17,37,1,5,2,15,3,2,3,49570000,1,8070000,3,31310000,3,49810000,1,8760000,1,850,5
2023-03-29,7,3,1,2,69,1,60,13,8975610000,13,7844050000,10,2650080000,11,4165750000,10,2828800000,0,850,5
2021-06-11,35,1,4,2,3,4,4,3,48050000,3,43660000,2,19150000,2,29680000,1,2010000,0,748,4
2020-08-04,22,3,3,3,66,4,47,12,5717770000,13,7981640000,10,2581710000,10,2082550000,10,2128350000,0,850,5
2022-10-27,20,2,2,1,14,3,10,9,892840000,7,324120000,7,392780000,6,221240000,4,96120000,0,850,5
2023-09-27,10,2,2,1,27,2,12,6,209100000,9,707290000,7,331390000,8,421300000,7,362010000,0,850,5
2022-06-18,9,1,4,2,30,1,5,3,39230000,2,10890000,2,16330000,3,40110000,2,21120000,0,850,5
2023-06-10,25,3,5,1,90,4,89,13,7403080000,13,9985150000,12,6624870000,13,7679840000,11,4213140000,1,850,5
2021-01-30,25,2,1,2,42,1,22,4,55730000,4,51570000,4,82360000,9,752810000,8,431740000,1,850,5
2022-04-16,14,3,4,3,88,1,100,13,9915690000,10,1446200000,11,3399370000,12,5121440000,10,2341090000,1,850,5
2023-10-12,10,1,2,2,17,2,3,2,21740000,3,39520000,2,26180000,1,7440000,3,46590000,1,557,1
2022-06-15,30,2,1,2,51,1,18,7,374900000,7,360310000,8,477560000,9,640040000,5,100770000,0,850,5
2022-08-25,28,3,5,3,66,3,82,13,7366800000,11,3681070000,11,4958450000,10,2169530000,13,9223890000,0,850,5
2020-05-23,12,1,5,1,12,1,2,2,17290000,2,28640000,1,6130000,2,26050000,1,560000,1,621,2
2020-12-15,21,3,1,3,75,3,65,13,7560630000,12,5624080000,11,4046420000,11,4712710000,11,4896990000,0,850,5
2020-07-22,11,1,3,3,9,1,1,2,18240000,1,780000,3,32330000,3,35260000,3,33950000,1,850,5
2023-06-19,26,2,4,2,114,4,21,5,103490000,5,113090000,7,322750000,8,435770000,4,91270000,1,850,5
2020-06-13,14,2,4,2,99,2,21,4,70340000,9,850580000,4,97850000,8,498820000,7,366390000,1,850,5
2020-05-19,10,2,1,3,104,2,24,9,729000000,6,233520000,8,445090000,4,88250000,6,205260000,0,850,5
2021-08-16,23,1,5,1,17,1,1,1,7750000,2,15860000,3,45190000,3,45900000,1,2340000,0,847,5
2023-09-10,21,1,1,1,12,2,5,1,1970000,3,35250000,1,7970000,1,6250000,2,19580000,0,340,1
2020-01-25,16,1,1,2,21,3,3,2,24360000,2,24770000,1,3990000,3,42590000,2,26270000,1,770,4
2021-10-16,6,2,4,1,81,1,17,7,324300000,7,364800000,8,440120000,4,90860000,9,810500000,1,850,5
2022-08-13,9,3,2,3,209,1,88,13,8177780000,10,1467090000,13,7296000000,12,6362400000,12,5652210000,0,850,5
2021-01-08,6,1,5,2,25,2,1,3,40900000,3,47540000,2,28800000,2,12380000,3,39100000,1,677,3
2021-04-03,21,1,4,1,9,3,5,1,5980000,1,1380000,3,46360000,2,27150000,3,43630000,1,805,5
2021-05-11,35,1,1,2,35,2,4,1,7960000,1,4410000,1,5660000,3,33520000,2,22570000,1,702,3
2020-11-24,28,2,1,1,81,2,15,7,326980000,9,541020000,6,259980000,9,817650000,7,313960000,1,850,5
2020-04-12,34,2,5,3,89,4,16,6,267870000,6,226110000,7,379250000,8,489480000,7,372330000,1,850,5
2022-05-08,33,1,1,3,26,2,1,1,9640000,3,47020000,3,44940000,2,20160000,3,45930000,1,642,2
2022-08-30,29,3,5,2,99,2,84,12,6922810000,13,9928020000,13,7100280000,13,7170330000,12,6584040000,0,850,5
2021-01-25,20,1,5,2,27,2,2,1,7820000,3,42250000,2,12760000,1,5400000,2,22210000,1,416,1
2020-04-14,6,2,3,2,32,4,17,8,475760000,8,410910000,8,407630000,6,216880000,7,378900000,1,850,5
2023-02-17,21,3,3,2,84,1,79,12,6531730000,13,7167810000,13,9947330000,13,9725540000,12,6211450000,1,850,5
2022-09-19,22,3,3,3,234,3,90,11,4558400000,11,3486910000,10,1565690000,11,4397710000,11,3768060000,0,850,5
2023-03-29,11,2,5,3,34,1,17,7,358350000,6,227870000,6,267110000,8,460190000,9,912780000,1,850,5
2020-02-13,2,1,2,3,6,1,1,1,3440000,1,7020000,2,23740000,1,7830000,3,30440000,0,487,1
2023-11-22,38,2,1,2,30,4,20,7,346400000,4,59910000,9,826910000,6,221720000,6,208380000,1,850,5
2023-03-21,8,3,3,1,118,3,83,12,6257330000,11,4033260000,10,2272050000,13,8697080000,13,7499290000,0,850,5
2020-10-06,13,2,2,3,15,1,6,7,391560000,4,57760000,7,361870000,6,241410000,7,302650000,1,850,5
2022-02-07,17,1,5,1,32,2,1,2,28370000,1,1600000,1,3440000,1,1930000,2,17590000,0,528,1
2020-12-20,7,2,4,2,21,1,25,5,160740000,6,214040000,6,214290000,7,337610000,8,498360000,0,850,5
2023-11-04,37,1,5,1,13,4,2,3,34380000,2,27760000,2,11080000,1,8820000,2,23860000,1,603,2
2021-12-29,2,2,1,1,20,1,13,9,817870000,9,816600000,6,217340000,6,225680000,6,277400000,0,850,5
2020-06-20,37,3,4,2,93,4,32,12,6699960000,12,5550160000,12,6455940000,10,1557900000,12,5317430000,1,850,5
2020-03-17,14,3,5,3,194,4,25,13,7312810000,11,4798150000,13,7095230000,12,5282220000,10,1303200000,1,850,5
2021-08-09,27,3,5,2,179,4,70,11,3173650000,10,2928210000,10,2130140000,12,6183760000,13,8347400000,0,850,5
2023-10-19,22,2,4,3,78,4,9,5,122200000,8,407400000,9,845400000,6,235740000,6,212700000,0,850,5
2021-12-12,25,3,4,1,177,3,52,13,9462650000,10,1999930000,10,2789300000,13,8078830000,13,7608680000,1,850,5
2021-01-19,36,1,5,3,22,1,4,2,14660000,1,5100000,2,26210000,1,670000,2,27480000,1,577,1
2022-07-03,26,1,2,2,16,3,3,2,17160000,3,35290000,2,20300000,1,9370000,1,2620000,0,489,1
2021-11-21,4,3,4,1,101,3,83,11,4935770000,11,4922810000,11,4840050000,10,1153140000,12,6923670000,0,850,5
2022-09-15,24,2,1,1,79,1,24,6,299270000,6,211420000,8,442330000,9,588830000,4,64230000,0,850,5
2020-09-04,2,3,3,2,79,3,29,12,6639610000,10,2253940000,10,2755820000,11,4760820000,12,5088100000,0,850,5
2022-12-19,31,3,4,3,98,4,72,12,6119740000,12,5333920000,11,3754930000,11,4824340000,13,8889120000,0,850,5
2022-08-15,22,2,3,3,67,2,14,5,178020000,5,166340000,7,345810000,4,55800000,8,428210000,1,850,5
2023-12-20,27,3,4,2,180,2,42,11,4638600000,11,3193650000,13,8655190000,10,2316650000,12,5375140000,1,850,5
2021-07-16,36,3,4,1,200,2,48,10,2570170000,11,4427100000,12,5980420000,13,8930170000,11,3258140000,1,850,5
2021-08-16,38,3,2,3,122,3,73,11,4620070000,11,3146000000,13,8451420000,12,5438270000,11,4570510000,0,850,5
2021-09-01,31,1,4,3,28,3,1,3,44580000,2,28000000,2,27090000,1,7620000,2,21950000,0,665,2
2023-04-16,5,1,3,3,36,4,2,3,30960000,3,38220000,3,46500000,3,40760000,3,33450000,0,850,5
2020-09-16,37,1,5,3,13,4,5,2,23750000,1,350000,2,20510000,1,5320000,2,12640000,1,650,2
2022-01-15,7,2,1,2,50,1,22,8,453880000,8,451150000,4,55800000,6,274470000,8,481630000,1,850,5
2020-05-27,33,2,4,1,87,4,5,4,98940000,5,155650000,8,428700000,9,562750000,6,254490000,1,850,5
2020-05-03,25,3,1,2,187,1,37,13,9684300000,13,8792980000,10,1737220000,12,5529940000,12,6640310000,1,850,5
2020-09-13,5,1,5,2,29,1,5,3,30040000,3,34400000,3,38300000,1,8330000,3,33540000,1,686,3
2020-09-15,22,3,4,2,183,3,40,11,3515600000,10,2732830000,11,4848120000,12,6092460000,10,1697140000,0,850,5
2020-06-16,29,3,2,1,212,1,60,13,7899930000,10,2697480000,10,2127470000,13,8953740000,10,2400050000,1,850,5
2022-12-30,14,2,3,1,99,2,14,6,248540000,8,425440000,4,86720000,4,64920000,4,59970000,0,850,5
2020-01-08,37,2,5,2,36,2,8,5,148030000,9,954480000,4,72950000,6,292940000,4,80170000,0,656,2
2020-08-12,36,2,4,3,28,2,11,7,373600000,9,559400000,5,111830000,6,244700000,5,182630000,0,850,5
2020-09-30,2,2,4,3,120,2,16,9,778120000,6,244190000,8,440440000,4,61860000,5,121690000,0,850,5
2023-11-05,1,2,2,1,82,1,18,7,365080000,5,145060000,5,160230000,8,425760000,9,891960000,0,850,5
2021-12-19,8,2,5,1,63,4,20,6,285990000,5,108770000,9,947970000,4,87360000,5,102000000,0,850,5
2021-07-20,19,1,2,3,32,1,1,3,47410000,2,15610000,2,24910000,3,41610000,2,16220000,1,850,5
2021-11-22,14,3,3,3,140,3,64,13,9234250000,11,3356200000,11,4928070000,12,6822580000,11,3722940000,1,850,5
2022-07-05,29,3,3,3,125,1,49,11,4112020000,12,6056890000,10,1471860000,13,7040830000,12,6133570000,0,850,5
2021-11-17,9,1,2,1,6,3,1,1,5120000,1,2520000,1,4720000,1,790000,1,3790000,0,387,1
2021-09-09,24,1,2,2,3,1,2,1,5270000,3,43800000,1,9110000,1,6760000,2,23940000,0,328,1
2021-11-24,33,2,4,3,91,2,24,4,90650000,8,464380000,8,493250000,6,293120000,4,64750000,0,850,5
2021-10-18,16,2,2,3,61,4,20,5,165980000,6,278050000,6,220960000,8,428050000,4,83790000,0,850,5
2022-05-07,26,2,2,1,116,2,10,8,404660000,8,410970000,4,72760000,6,298200000,4,75440000,1,850,5
2022-08-09,30,1,1,2,17,1,1,3,38750000,1,7190000,2,19070000,2,23310000,2,13210000,1,818,5
2023-11-02,18,2,5,1,70,2,12,6,213600000,5,168920000,5,134990000,6,255460000,5,175870000,1,850,5
2023-09-27,21,2,4,2,25,2,22,5,120790000,9,975220000,5,107080000,8,440180000,7,353840000,1,850,5
2022-05-24,29,1,4,3,24,4,1,1,4580000,3,48390000,3,37330000,1,5010000,2,13280000,0,431,1
2023-04-02,25,2,5,3,106,3,21,8,420100000,6,290230000,5,182560000,4,69210000,9,819660000,1,850,5
2021-11-24,11,3,5,1,156,3,35,10,2507090000,13,9956660000,13,8922780000,12,6902180000,12,6672130000,0,850,5
2022-12-12,29,2,2,1,12,4,7,8,411630000,4,77110000,8,433990000,6,215390000,9,794510000,1,850,5
2022-10-17,6,1,5,3,30,1,1,2,17660000,3,49180000,3,45510000,2,10700000,2,19120000,1,610,2
2023-04-14,38,1,3,3,35,2,1,1,8070000,2,15660000,2,12680000,2,14400000,1,7450000,0,513,1
2022-01-02,6,2,2,1,79,2,21,8,486370000,5,187210000,7,304020000,8,415470000,4,99880000,1,850,5
2023-10-31,18,2,2,1,83,1,6,4,70900000,9,966160000,8,424080000,6,253960000,4,58090000,1,850,5
2023-09-29,37,2,5,3,114,4,10,7,330600000,4,93780000,6,207060000,8,409570000,4,87150000,0,850,5
2020-04-18,18,2,2,3,86,2,19,8,402480000,5,143240000,6,290030000,4,76000000,6,220090000,1,850,5
2023-03-10,33,2,3,3,76,4,17,8,488960000,4,86090000,9,929510000,7,337930000,8,493140000,0,850,5
2020-06-13,10,3,2,2,169,4,29,12,6293340000,11,4626080000,13,7181890000,13,7627990000,13,7615030000,1,850,5
2022-03-12,18,3,2,2,46,1,56,13,7248150000,12,6007790000,10,2922780000,13,7694490000,12,6068360000,0,850,5
2022-10-06,3,1,1,3,28,2,4,1,4480000,2,29240000,3,39380000,3,38210000,3,41830000,0,733,3
2022-06-09,28,3,5,2,165,4,83,13,9262230000,12,5495670000,11,3659090000,13,8443490000,11,4316750000,1,850,5
2023-08-06,26,3,1,3,170,3,41,13,7092740000,11,4685000000,13,7479470000,12,6549170000,13,9757790000,0,850,5
2021-01-22,26,1,5,1,29,1,2,2,12670000,2,12440000,3,44540000,2,28060000,3,30720000,0,770,4
2020-08-26,10,2,1,2,119,4,15,6,243830000,7,342620000,7,352320000,5,192660000,7,328150000,0,850,5
2023-02-04,8,1,2,3,10,3,2,1,980000,2,16140000,1,950000,1,8260000,3,49150000,1,412,1
2023-08-09,35,2,4,3,103,3,20,9,524670000,4,61710000,5,126960000,6,260040000,9,805410000,1,850,5
2022-08-22,23,1,5,1,6,3,5,1,9890000,3,34350000,3,35190000,1,1140000,1,3510000,0,450,1
2021-08-08,21,1,4,2,1,2,1,3,45850000,3,39960000,3,32630000,1,3790000,3,35210000,1,659,2
2023-04-02,28,2,3,3,42,3,18,8,430100000,4,66010000,8,401860000,9,510350000,9,867860000,1,850,5
2021-02-08,16,1,4,3,30,3,4,1,5020000,3,32100000,2,26740000,3,43890000,1,4840000,0,712,3
2023-10-03,21,3,5,1,153,1,34,10,1854690000,12,6420480000,11,4715300000,11,3352470000,11,3136350000,0,850,5
2023-12-29,22,1,5,3,14,3,1,1,650000,3,48780000,3,47380000,3,32520000,1,8070000,1,680,3
2020-10-17,32,3,3,3,136,3,29,10,2341930000,12,5574370000,10,1012630000,11,3659370000,12,5537670000,1,850,5
2022-09-21,19,3,2,2,177,2,36,13,9152510000,12,6178820000,12,6021230000,13,7186090000,11,3462020000,1,850,5
2023-08-04,13,1,1,1,5,2,4,1,1570000,1,4900000,3,38050000,3,49890000,2,29400000,1,850,5
2020-07-04,2,2,2,2,30,2,6,6,281460000,9,709400000,5,114280000,4,75270000,5,156880000,0,691,3
2023-01-27,30,3,4,2,237,4,36,13,8836710000,13,7803030000,13,7538320000,10,1647220000,11,4650110000,0,850,5
2023-01-23,6,1,1,1,20,1,1,3,30980000,3,35030000,2,29870000,3,36010000,1,790000,0,775,4
2020-08-25,31,3,4,3,65,2,40,12,6905820000,11,4916090000,10,1090310000,12,6307570000,13,7105770000,0,850,5
2023-02-28,2,2,3,1,76,2,25,9,815070000,9,679430000,9,546770000,7,301930000,6,216880000,1,850,5
2021-03-07,2,2,5,2,83,4,15,5,151880000,5,121620000,5,170090000,6,239670000,4,65630000,1,850,5
2023-02-04,4,2,2,3,21,1,11,7,363970000,4,51890000,5,132040000,5,142640000,8,418710000,1,850,5
2022-06-13,12,3,4,2,195,1,72,13,7228900000,11,3359380000,13,7153400000,12,5205590000,13,7429150000,0,850,5
2021-07-26,15,2,3,3,26,3,14,6,289160000,6,260750000,9,653730000,9,725870000,9,658430000,1,850,5
2020-04-25,18,3,1,1,35,2,95,10,2075640000,10,1773780000,12,5507240000,12,5006900000,13,7538720000,1,850,5
2023-09-20,3,1,5,3,18,1,5,3,38440000,1,7440000,1,4000000,1,1130000,1,3430000,0,562,1
2022-04-05,36,2,3,3,19,3,9,4,92850000,8,402420000,6,225500000,8,494850000,6,266560000,1,850,5
2022-01-26,5,1,2,1,18,4,3,1,9160000,1,6200000,3,33340000,2,24590000,1,2810000,1,743,4
2021-06-27,3,1,4,3,33,3,3,1,90000,2,24930000,1,7070000,3,32010000,1,520000,1,606,2
2021-05-09,20,2,5,3,84,4,11,5,112800000,6,248240000,5,187310000,5,182770000,7,343010000,1,850,5
2021-11-01,9,2,5,2,24,3,10,6,203090000,9,860100000,4,52210000,5,141980000,8,426480000,0,300,1
2020-06-20,35,1,2,2,3,1,2,1,9410000,2,18970000,1,8900000,3,46480000,2,26380000,0,699,3
2021-12-10,6,3,5,3,33,3,80,12,5389220000,10,2365720000,12,6257160000,11,4871850000,12,5156010000,0,850,5
2021-07-24,19,1,4,2,12,4,5,2,16670000,3,35060000,1,5800000,2,12700000,2,25610000,1,499,1
2021-01-21,15,2,1,2,40,2,24,6,274530000,4,74270000,8,475480000,8,419190000,9,708930000,0,850,5
2021-03-27,16,2,4,1,26,2,25,4,59580000,8,402830000,5,102700000,4,86570000,4,96110000,1,619,2
2020-07-04,5,1,1,3,20,1,4,2,22540000,3,45710000,3,44660000,1,1210000,2,17210000,0,526,1
2021-08-12,15,2,1,2,39,2,13,9,984970000,7,345180000,6,202830000,8,419840000,5,174440000,1,850,5
2022-12-28,36,1,1,2,6,3,4,3,32860000,3,40980000,3,47290000,3,30970000,2,17570000,1,846,5
2021-09-21,25,3,2,2,111,2,43,12,5933710000,13,7922160000,13,7761130000,10,1449420000,11,3428220000,1,850,5
2022-09-13,4,3,3,3,90,3,42,13,9982400000,12,5061010000,11,3815520000,12,5736270000,12,6325190000,1,850,5
2023-02-20,4,2,2,1,104,3,8,4,84070000,4,83850000,6,286930000,6,296740000,8,497950000,1,850,5
2023-10-28,6,1,3,1,34,3,4,1,8190000,3,38940000,3,31550000,3,49230000,2,19400000,0,771,4
2023-08-06,5,1,2,1,19,1,4,1,1200000,3,39560000,2,13190000,1,3630000,2,18750000,0,329,1
2021-05-21,31,1,1,1,21,2,3,3,43110000,1,4880000,3,48430000,1,4450000,1,5930000,0,789,4
2020-08-14,36,1,1,3,29,2,5,1,2420000,3,36320000,3,44390000,2,22100000,1,8930000,0,612,2
2021-06-14,7,1,5,1,33,3,4,2,20640000,3,45190000,2,22520000,2,21710000,3,35040000,0,578,1
2022-05-29,13,2,2,2,118,3,18,6,227000000,6,230950000,7,315070000,5,113170000,6,252900000,1,850,5
2020-05-02,4,2,5,2,79,3,5,6,223050000,8,452690000,5,120030000,5,108890000,4,61890000,0,850,5
2021-10-16,32,1,3,2,17,2,5,1,6640000,2,26460000,1,5460000,1,1670000,2,10540000,1,399,1
2020-12-07,33,3,5,2,230,2,25,11,4642230000,11,3572350000,13,8201000000,13,9574530000,11,3781350000,1,850,5
2020-12-01,7,2,3,2,31,4,9,7,361010000,4,85270000,8,480950000,9,978730000,5,154960000,0,850,5
2021-03-03,28,3,1,3,47,4,74,13,7939670000,11,4700800000,11,3258430000,13,9788440000,13,8497700000,0,850,5
2021-06-27,32,2,4,3,34,1,13,6,230280000,5,159380000,9,921920000,7,379030000,7,380290000,1,850,5
2022-07-31,26,3,2,2,86,4,31,13,7948260000,10,1082920000,13,9531920000,11,3446240000,11,4373420000,1,850,5
2022-10-01,14,1,3,2,15,3,1,1,8450000,2,28590000,1,6440000,1,6430000,3,49250000,0,384,1
2021-11-03,8,3,1,2,240,4,52,12,5644450000,13,9247650000,12,6729960000,10,1079110000,12,5962820000,0,850,5
2023-04-28,11,1,5,1,26,1,4,2,15170000,3,31360000,3,44930000,3,34450000,3,43210000,0,774,4
2022-05-24,32,1,4,2,15,4,4,1,6240000,1,7970000,1,6760000,1,310000,2,22120000,0,401,1
2020-01-19,36,2,3,1,102,3,21,5,167180000,8,406830000,4,54450000,7,342600000,5,173020000,1,850,5
2022-08-18,1,1,4,2,33,4,1,3,35840000,2,23900000,3,32300000,2,24310000,2,11350000,1,824,5
2023-02-22,2,3,2,1,69,2,62,13,8860250000,10,2495830000,13,8399090000,10,2015700000,12,6205860000,0,850,5
2021-01-10,26,2,3,2,116,1,14,5,173080000,8,426990000,5,176620000,5,126540000,9,891950000,0,850,5
2023-03-29,8,1,2,2,5,4,4,2,29330000,3,42260000,2,24910000,2,15620000,2,17040000,0,578,1
2023-10-22,30,3,1,3,232,2,63,13,7662930000,10,2616450000,11,3930590000,12,6821260000,13,9954280000,0,850,5
2022-04-25,30,1,5,2,31,1,5,3,32610000,3,44410000,2,28140000,1,8220000,1,1920000,1,626,2
2022-07-06,37,3,4,2,126,4,30,10,1384220000,11,3029480000,10,2392330000,11,4479470000,13,8322660000,1,850,5
2020-12-07,9,1,2,2,21,3,2,1,5210000,1,2770000,2,21280000,3,43470000,1,1820000,1,818,5
2022-01-09,17,3,1,3,88,1,35,11,4222320000,13,8431510000,12,5747630000,11,3707260000,12,5209460000,0,850,5
2022-05-01,36,2,2,2,50,2,5,8,487870000,5,154710000,5,168620000,8,464700000,6,290790000,0,850,5
2023-09-21,13,3,1,2,201,3,26,13,7434470000,12,5507520000,11,4095640000,12,6135040000,12,5972380000,1,850,5
2023-05-09,37,2,5,1,82,3,12,7,309590000,4,67300000,6,277640000,4,83220000,4,94080000,1,850,5
2022-05-14,17,1,4,3,4,4,5,3,45670000,3,40540000,3,30860000,1,1690000,1,7730000,0,592,2
2021-01-26,35,2,4,2,21,2,11,9,908370000,6,224230000,8,460600000,9,528900000,5,176290000,0,850,5
2021-04-20,33,3,1,1,88,1,57,11,3354310000,13,9945490000,12,6365090000,12,5264500000,10,2766190000,0,850,5
2020-10-15,1,3,1,3,198,4,71,13,7747610000,11,3479320000,12,6206480000,13,9250040000,10,2321760000,1,850,5
2020-07-09,5,3,3,2,189,2,75,13,8352250000,13,7942560000,11,4507040000,12,5181650000,12,5234080000,0,850,5
2022-07-23,13,3,1,1,95,3,44,10,2566130000,13,9458570000,11,3542640000,13,9987530000,13,7490260000,0,850,5
2021-04-12,21,3,2,3,33,1,67,13,9236440000,12,5265820000,13,7670220000,13,7903320000,12,5119770000,0,850,5
2021-06-22,8,2,2,1,61,3,5,9,555190000,6,207360000,8,486010000,8,417690000,5,182320000,1,850,5
2020-11-06,10,1,1,1,14,4,1,2,20800000,3,31390000,1,8630000,2,10540000,2,15520000,0,471,1
2022-04-20,9,3,5,2,72,2,67,10,1296830000,12,6774390000,10,2320240000,13,9894550000,11,4153130000,0,850,5
2022-02-24,32,1,5,3,16,1,4,1,2590000,2,27220000,2,16580000,3,39930000,3,44800000,0,634,2
2022-03-13,7,1,2,3,4,4,5,2,20670000,1,2100000,1,600000,3,41110000,1,1330000,0,741,4
2022-02-22,26,2,4,3,82,2,24,7,314030000,5,135990000,4,57610000,5,181550000,5,184810000,1,850,5
2020-12-11,14,2,5,3,97,2,25,5,134020000,7,383220000,7,342890000,9,947780000,6,238920000,0,850,5
2021-10-24,21,1,3,3,34,2,5,3,31470000,2,29250000,1,5130000,1,9720000,3,45940000,0,531,1
2020-01-03,26,2,1,1,112,4,23,4,88320000,9,696380000,8,441270000,4,73180000,9,845620000,1,850,5
2022-12-14,37,1,5,1,12,1,4,2,26740000,1,860000,3,46880000,1,5530000,1,340000,1,767,4
2021-02-19,25,3,4,2,39,2,43,13,9483650000,11,3758960000,11,4161240000,12,5217170000,11,4800070000,0,850,5
2020-10-20,24,3,2,1,59,2,91,12,6654660000,10,1652470000,10,1907180000,11,4044150000,12,5380810000,1,850,5
2023-10-07,8,3,1,3,239,2,63,12,5665800000,12,5033030000,11,4454430000,12,6624520000,13,9998480000,1,850,5
2023-11-16,5,1,4,3,6,1,4,1,4140000,2,26260000,3,49480000,3,46430000,1,250000,0,818,5
2021-09-13,26,1,1,2,13,4,2,1,5160000,1,4080000,3,35970000,3,40010000,1,4760000,0,797,4
2020-11-20,5,3,4,3,111,4,51,12,5429460000,13,7297860000,12,5723950000,12,6769900000,10,1182080000,1,850,5
2021-05-04,6,2,2,3,67,4,18,7,358870000,6,251460000,6,253600000,8,467320000,9,608040000,0,850,5
2020-11-04,3,3,5,2,157,1,77,12,5409300000,10,2898250000,10,2477030000,13,7142720000,10,2623880000,0,850,5
2022-11-21,31,3,1,3,204,3,85,11,4911280000,11,3572380000,13,8982380000,11,3191450000,12,6481380000,0,850,5
2021-11-14,2,3,5,3,211,3,55,11,4661800000,12,6358040000,11,4340530000,13,9453560000,13,9691930000,0,850,5
2022-10-01,14,1,2,1,32,3,3,3,35530000,3,35560000,3,32910000,1,3870000,1,5130000,1,645,2
2022-11-24,26,3,5,3,97,4,27,12,5850760000,11,4957330000,13,8083580000,12,5057960000,12,6549210000,0,850,5
2022-12-08,11,1,4,1,28,1,2,2,17460000,3,47530000,3,32370000,1,5690000,3,31580000,1,531,1
2020-12-12,6,2,5,2,46,4,18,4,70110000,9,659480000,4,69950000,5,135750000,4,69370000,1,300,1
2022-02-07,10,2,4,1,62,1,13,7,339850000,5,103580000,9,514530000,7,321500000,6,262150000,0,850,5
2020-01-21,23,1,2,1,14,4,5,1,7750000,2,26030000,2,22750000,3,37520000,2,25850000,0,674,3
2020-12-26,17,2,2,2,77,2,7,5,172320000,9,763910000,9,721310000,4,58970000,9,770940000,1,850,5
